"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"De","d66b2c19-9b85-45e9-b305-6a9c0ffb9f61","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:43:52Z,"wix:image://v1/c3c13c_dcab2c96ce07420c83420ddc3dbc0db4~mv2.jpg/006-De.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection"",""I - The Origin of Chaos"",""Legends of the Cosmos""]",4,"Creature","Baro","{""I - The Origin of Chaos"":""Common"",""Baro Planetary Collection"":""Common"",""Legends of the Cosmos"":""Really Rare""}",,,40,320
"Heatotak","d6fc3f18-7c02-428a-a43b-42854ee6acf2","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:45:15Z,"wix:image://v1/c3c13c_a0e2bbd41ffe4ec1b7647452f5045f6c~mv2.jpg/4%2014%20-%20Heatotak.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",4,"Creature","Sheos","{""IV - Planets United"":""Common""}","When you play this card, reveal any number of 4 star, handed Sheos creatures with different names, this creatures gains 100 power for each.",,,50
"Zettoray - Mantalossus","d7e60cc1-4763-4edf-a570-8b56d737856a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-23T20:49:19Z,"wix:image://v1/c3c13c_c3ff9e5ba4034354af31da591c03f7a4~mv2.jpg/D1%201%20Mantalossus.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 1: The Depths of Palicium"",""Legends of the Cosmos""]",8,"Creature","Palicium","{""Base Galaxy 1: The Depths of Palicium"":""Really Rare"",""Legends of the Cosmos"":""Rare""}","If this creature is free played by the ability of Ralantis, it gains 100 power. Also, you draw 2 cards.",,390,400
"Secret of the Floating Rock","d846818c-031b-4fc9-b1b2-81655da70e96","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-08T15:41:36Z,"wix:image://v1/c3c13c_98ffcbe669f64db9ba590d00070d9258~mv2.jpg/1%2062%20-%20Secret%20of%20the%20Floating%20Rock.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common""}","Kill 1 Floating Rock with Non-Floating Rock on Top on your planet to take control of 1 creature on your opponent's planet until it is killed.",,,
"2 Starred Temple","d8d8f4fb-d03c-410f-b06d-3602bf4e4a5a","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:39:27Z,"wix:image://v1/06e28e_84e042613cf042eb81cb70f20a48352c~mv2.jpg/070-2-Starred-Temple.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Resource",,"{""V - Beyond Horizons"":""Common""}","Add  1  galaxied,  2  star Sindian creature to your hand.",,,
"Tentaclon - Tenticles","d8d941d7-b06a-477a-acb1-00e07330fe17","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_4fb8ac149d6f47cea3429f42bfd970ef~mv2.jpg/1%2049%20-%20tentaclon%20tenticles.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Combiner","Palicium","{""I - The Origin of Chaos"":""Common""}",,,370,290
"Planet Power","d8ee43fe-3ca5-46e8-bd4e-c680fa63aa19","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-06T03:21:00Z,2022-11-06T03:21:00Z,"wix:image://v1/06e28e_6fd1dfe191f4493c88f50ede46a79ca8~mv2.jpg/086-planet-power.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Activator",,"{""V - Beyond Horizons"":""Common""}","When you use your planet card's ability... All creatures from that planet gain 100 power until the end of your turn.",,,
"Slush Infestation","d927671f-92ed-44f6-a11b-e4a4a745b903","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-09T23:50:54Z,"wix:image://v1/c3c13c_c5dd45f952aa45578dce434dec8bfaed~mv2.jpg/1%2071%20slush%20infestation.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Permanent Resource",,"{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Really Rare""}","Place this card in one of your opponent's empty zones. When another Slush Infestation is played, kill this card.","Banned - No copies of this card are allowed in your deck",,
"The Brain","d932933b-195f-4d23-828d-267099decf40","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T08:00:28Z,"wix:image://v1/06e28e_77d4bf1f2bc94933a84e52fa8d881c8f~mv2.jpg/031-The-Brain.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","Teklar","{""V - Beyond Horizons"":""Common""}","Every time you look at a card from the top of your galaxy (without moving it), you gain 1 star.",,40,270
"Floop","d9660b6a-90bc-4694-b51b-bdb0fac7d60b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:44:38Z,"wix:image://v1/c3c13c_c55d6332805f411880c0e42bf6b7be9d~mv2.jpg/1%2037%20-%20Floop.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",2,"Creature","Gaios","{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Common""}",,,90,120
"Help-O-Belt","d9664988-53cb-47f9-b3f6-0cde309773d1","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_2eca32c29257486197ebff8fd529c348~mv2.jpg/3%2064%20-%20Help-o-belt.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Resource",,"{""III - Galactic Divide"":""Rare""}","Pay 3 stars. Add 1 galaxied attachment card to your hand.",,,
"Beast of the Conjurers","d97ff93b-2b70-4ed3-9919-97b42c89ca83","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-06T02:20:59Z,"wix:image://v1/06e28e_3dbf787efbf44de39ceb2d14c028bcf6~mv2.jpg/027-Beast-of-the-Conjurers.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",6,"Creature","Sindian","{""V - Beyond Horizons"":""Rare""}","When this creature is played, add any 1 zone to your planet. When this zoned creature is killed by an attack, add any 1 zone to your planet.
",,260,260
"Ultimate Doom","d99d7ff5-bf62-491c-ae4b-1dc989ae3d70","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T08:01:28Z,"wix:image://v1/06e28e_e11b7c195b2241b6bdf4a199dfc643ca~mv2.jpg/090-Ultimate-doom.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Activator",,"{""V - Beyond Horizons"":""Rare""}","When your opponent plays a creature so that the stars of all their zoned creatures adds to 13 or more... Kill all your opponent's zoned creatures.",,,
"Demoknight","da31e0cb-2669-471b-9625-02ba6cbd67f8","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:43:50Z,"wix:image://v1/c3c13c_9d771d84253e4730986693052c75735c~mv2.jpg/2%2023%20-%20Demoknight.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",4,"Creature","Sindell","{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Rare""}",,,250,140
"Ozokai","dad05ea1-5aa5-400a-a92f-de5d673d2795","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:46:43Z,"wix:image://v1/c3c13c_4fc1c4cd7ed94caa824d10960ef635fd~mv2.jpg/3%2058%20-%20Ozokai.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",3,"Creature","Gaios","{""III - Galactic Divide"":""Common""}","When you cost play this creature, add 1 galaxied Ozoblok to your hand. You can't cost play it this turn.",,140,60
"Brack Tooth","dc01ff1a-0c5b-4417-9784-cb672deb5b3c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:43:18Z,"wix:image://v1/c3c13c_2a462e43fdba4d4d8c473e317c634147~mv2.jpg/2%201%20-%20brack%20tooth.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",4,"Creature","Sindell","{""II - Deep Space Discoveries"":""Common""}",,,110,260
"Tornadoom","dc159fbf-54f9-4f56-b628-904dd70b713f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-08T15:41:36Z,"wix:image://v1/c3c13c_93898851fb6a4e6bb4fa0082cdaa78e3~mv2.jpg/3%2068%20-%20Tornadoom.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Resource",,"{""III - Galactic Divide"":""Rare""}","Give 1 of your zoned, 4 star or higher Rokah creatures to your opponent's hand to kill all zoned creatures or resources.",,,
"Sacred Reef","dc1d14c2-5d08-4b31-a813-99bfe821f78f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_727dbaed9f324a3cbcba1808aeb5d2c1~mv2.jpg/2%2074%20-%20Sacred%20Reef.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Palicium Planetary Collection""]",,"Permanent Resource",,"{""II - Deep Space Discoveries"":""Common"",""Palicium Planetary Collection"":""Common""}","Double the original power & health of all Palicium creatures on both players' planets which have 2 stars or less.",,,
"Broken Hand Without a Name","dd16ab26-686d-417a-8b17-fb70f78725c5","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_0adea0c5b33e4943a2e9b099fab76913~mv2.jpg/3%2070%20-%20Broken%20Hand%20Without%20a%20Name.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Resource",,"{""III - Galactic Divide"":""Common""}","Your opponent chooses 1 of your killed creatures and adds it to your hand.",,,
"Firebolt Inari","dd22208a-cb8c-49a9-a6be-3750534ee7eb","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:47:46Z,"wix:image://v1/06e28e_3822201e0934495aa97af63a7661bb4c~mv2.jpg/002-Firebolt-Inari.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",7,"Creature","Sheos","{""V - Beyond Horizons"":""Rare""}","When this creature would attack and kill an opponent’s creature, you can shuffle that creature into its owner’s galaxy instead.",,400,260
"Warphole Jetpack","dd2da6e2-8d4a-4f65-888b-bb145292b304","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-08-24T22:12:51Z,"wix:image://v1/c3c13c_20ca76daf8af4ecd89dd43553d918d8e~mv2.jpg/3%2088%20-%20Warphole%20Jetpack.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Attachment",,"{""III - Galactic Divide"":""Really Rare""}","When the attached creature leaves your planet, free play one of your different killed creatures which has the same amount of stars as the attached creature.","Half-Banned - Only 1 copy of this card is permitted in your deck",,
"Viridious the Devourer","deb5ea0f-2cb0-4bed-b64f-37b0cd483f63","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:49:00Z,"wix:image://v1/c3c13c_9c5fa37e0cc240fa837cbf642fde86e1~mv2.jpg/1%2033%20-%20Viridious.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",8,"Creature","Gaios","{""I - The Origin of Chaos"":""Rare"",""Legends of the Cosmos"":""Common""}",,,420,350
"Bogibooga","ded811d1-09dc-430b-b436-490c7af3298e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:43:01Z,"wix:image://v1/c3c13c_26edcacf78c24cfc819ef550aabef262~mv2.jpg/1%2027%20-%20bogibooga.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",1,"Creature","Sindian","{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Common""}",,,10,100
"Weatherman Typhooon","df4d07d6-b2f2-41eb-994d-92b406fb2cd2","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-23T20:49:27Z,"wix:image://v1/c3c13c_51dea5f308ef4deb8b6623a21ccdab90~mv2.jpg/3%207%20-%20Weatherman%20Typhooon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",6,"Creature","Rokah","{""III - Galactic Divide"":""Rare""}","For every Weather card on your planet, this creature costs 1 less star to cost play. If Weathermachine is on your planet, this card gains 100 power and health.",,300,240
"Erratic Void","dfc42ee6-bb03-4832-aab1-38e6506f77a7","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-09T23:59:40Z,"wix:image://v1/c3c13c_8bfc9c93b98e492f915f839f9328e143~mv2.jpg/2%2092%20-%20Erratic%20Void.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",,"Activator",,"{""II - Deep Space Discoveries"":""Rare"",""Legends of the Cosmos"":""Common""}","When your opponent free plays a creature with 4 stars or more...Kill that creature.",,,
"4 Starred Feather","dffc8e63-c5f4-43b7-b4c5-44b0025afda7","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-08T15:41:28Z,"wix:image://v1/c3c13c_16c7592ab2e6402eb1b28e55273ac8c9~mv2.jpg/3%2066%20-%204%20Star%20Feather.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Resource",,"{""III - Galactic Divide"":""Common""}","Add 1 galaxied, 4 star rokah creature to your hand.",,,
"The Ground Kazzarak - Hoof","e04539dc-152c-4731-9718-8a5a6c657f9c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-08T15:41:16Z,"wix:image://v1/c3c13c_7262c4da246549688ef626dff69f2c29~mv2.jpg/002%20-%20Ground%20Kazzarak%20-%20Hoof.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Teklar""]",,"Combiner","Teklar","{""Base Galaxy: Teklar"":""Common""}","Once per turn, you can reveal 3 handed combiner cards, this creature can attack twice this turn. After this zoned creature is killed by your opponent add 1 killed Kazzarak combiner card to your hand.",,400,320
"Paju Pajuru","e07d36e0-0bc6-4b4e-bbf6-b533c93af54a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:46:44Z,"wix:image://v1/c3c13c_71dfb3248a5b4c3eaea00caf8b0e3740~mv2.jpg/4%2045%20-%20Paju%20Pajuru.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United"",""Palicium Planetary Collection""]",2,"Creature","Palicium","{""IV - Planets United"":""Common"",""Palicium Planetary Collection"":""Common""}","Once per game, when a zoned 7 star or higher Palicium creature is killed, you can free play this killed creature.",,100,50
"Gaios","e1078cf6-f55e-4371-84ac-262573f5a732","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-11-02T18:28:13Z,"wix:image://v1/c3c13c_8cffc48b3a484c38b9804547bc4ddd8d~mv2.jpg/1%2098%20-%20gaios.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""II - Deep Space Discoveries"",""III - Galactic Divide"",""IV - Planets United"",""V - Beyond Horizons""]",,"Planet","Gaios","{""III - Galactic Divide"":""Planet"",""V - Beyond Horizons"":""Planet"",""IV - Planets United"":""Planet"",""I - The Origin of Chaos"":""Planet"",""II - Deep Space Discoveries"":""Planet""}","Once per turn, you can kill 1 Gaios creature on your planet. Then add 1 Gaios creature with the same amount of stars but a different name from your galaxy to your hand.",,,
"Guardicron","e149a92e-bcd8-4b7d-a70a-0338ab1fec5d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:44:47Z,"wix:image://v1/c3c13c_8434874f6f1143828be1db3a7cf15a69~mv2.jpg/4%2029%20-%20Guardicron.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",5,"Creature","Sindian","{""IV - Planets United"":""Common""}","Your permanent resource cards that specifically list a creature or archetype name cannot be killed.",,120,310
"Loople Leaf","e14b4ce3-bf74-4b02-8f09-2f9de261ec3d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:46:00Z,"wix:image://v1/c3c13c_17298d4e795640e381cbbddee4c7afb5~mv2.jpg/D3%209%20-%20Loople%20Leaf.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",2,"Creature","Gaios","{""Base Galaxy 3: The Mysteries of Gaios"":""Common""}","If this card is killed by the ability of the planet Gaios, it can count as a 3 or 4 star creature.",,40,80
"Spicy Soul Sauce","e1977f94-c0f8-4a91-8eda-03a8d122edaf","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_6d78ec9adb5148ecb0e6d2e5375bd0e3~mv2.jpg/3%2090%20-%20Spicy%20Soul%20Sauce.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Attachment",,"{""III - Galactic Divide"":""Common""}","The attached creature gains 10 power for each of your killed Sindell creatures.",,,
"Spine Backed Serpent","e1bd6fb8-86ad-4e9f-b415-9404d0c6065a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:48:02Z,"wix:image://v1/c3c13c_e9b318d526f44063a62510c477533c97~mv2.jpg/2%2021%20-%20Spine%20Backed%20Serpent.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Palicium Planetary Collection""]",6,"Creature","Palicium","{""II - Deep Space Discoveries"":""Common"",""Palicium Planetary Collection"":""Common""}",,,230,360
"Moople Motherboard","e1d3fd99-49c2-4ae5-b307-b7db68097288","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:46:12Z,"wix:image://v1/c3c13c_c6173c7deeea4437ae103f8a367ea73f~mv2.jpg/011%20-%20Moople%20Motherboard.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Teklar""]",2,"Creature","Teklar","{""Base Galaxy: Teklar"":""Common""}","When you would use the ability of the planet Teklar, look at the top 2 cards of your galaxy and return them in any order instead.",,40,140
"Shnoob","e219b339-1e6c-4617-aa0c-ed93e1f40f16","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:57:19Z,"wix:image://v1/06e28e_4f82ee6a5ebf4cfeb37b21a64b0c6e38~mv2.jpg/055-Shnoob.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",1,"Creature","Palicium","{""V - Beyond Horizons"":""Common""}","This creature is unaffected by the abilities and attacks of combiner creatures.",,20,60
"Gorblu","e21d60ad-af22-40b6-9725-4cbc8fb53dd0","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:44:53Z,"wix:image://v1/c3c13c_f91ab78cdfd1494baeb82d67d7caa6a3~mv2.jpg/009%20-%20Gorblu.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Rokah""]",5,"Creature","Rokah","{""Base Galaxy: Rokah"":""Common""}","Whenever your opponent reveals a handed card, this creature permanently gains 20 power & health.",,220,240
"Crazy Hands the Ice Shaker","e221a082-aeea-4bb4-be2e-8b87a23fb193","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:45:47Z,"wix:image://v1/06e28e_1a066eeb900c419494533e8e64cc38ab~mv2.jpg/056-Crazy-Hands-the-Ice-Shaker.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",2,"Creature","Palicium","{""V - Beyond Horizons"":""Common""}","Before you move this creature into a battle zone, you must remove 1 empty zone from your planet.",,200,200
"Temple of the Archangels","e2eabd79-7281-48e2-ac16-67266eb78bb2","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_2d8a708c1e8e4868877ea27995abd4ab~mv2.jpg/1%2074%20-%20Temple%20of%20the%20Archangels.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Permanent Resource",,"{""I - The Origin of Chaos"":""Common""}","At the start of your opponent's turn, you can kill 1 resource card in your hand. Then your opponent can not gain any points for the rest of their turn.",,,
"Dandi","e3805c07-61b2-4bdf-8f17-d86267589a96","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:43:57Z,"wix:image://v1/c3c13c_4137211d72584af38e6ec724514d276c~mv2.jpg/2%203%20-%20Dandi.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",1,"Creature","Rokah","{""II - Deep Space Discoveries"":""Common""}",,,40,70
